Dates,Currency,Instruments,Sources,Expiry,Tenor,Quote
2019-05-28,USD,Depo,,TN,,2.3
2019-05-28,USD,Depo,,SN,,2.4
2019-05-28,USD,Depo,,1M,,2.36
2019-05-28,USD,Depo,,3M,,2.47
2019-05-28,USD,Fut,,M9,,97.4775
2019-05-28,USD,Fut,,U9,,97.615
2019-05-28,USD,Fut,,Z9,,97.705
2019-05-28,USD,Fut,,H0,,97.88
2019-05-28,USD,Fut,,M0,,97.995
2019-05-28,USD,Fut,,U0,,98.07
2019-05-28,USD,Fut,,Z0,,98.08
2019-05-28,USD,Fut,,H1,,98.115
2019-05-28,USD,Swap,ICAP,3Y,,2.062
2019-05-28,USD,Swap,ICAP,4Y,,2.044
2019-05-28,USD,Swap,ICAP,5Y,,2.051
2019-05-28,USD,Swap,ICAP,6Y,,2.074
2019-05-28,USD,Swap,ICAP,7Y,,2.102
2019-05-28,USD,Swap,ICAP,8Y,,2.133
2019-05-28,USD,Swap,ICAP,9Y,,2.165
2019-05-28,USD,Swap,ICAP,10Y,,2.198
2019-05-28,USD,Swap,ICAP,15Y,,2.315
2019-05-28,USD,Swap,ICAP,20Y,,2.368
2019-05-28,USD,Swap,ICAP,25Y,,2.384
2019-05-28,USD,Swap,ICAP,30Y,,2.39
2019-05-28,USD,Swaption,ICAP,1M,1Y,19.85
2019-05-28,USD,Swaption,ICAP,1M,2Y,28.95
2019-05-28,USD,Swaption,ICAP,1M,3Y,30.31
2019-05-28,USD,Swaption,ICAP,1M,4Y,30.93
2019-05-28,USD,Swaption,ICAP,1M,5Y,30.97
2019-05-28,USD,Swaption,ICAP,1M,6Y,30.26
2019-05-28,USD,Swaption,ICAP,1M,7Y,29.5
2019-05-28,USD,Swaption,ICAP,1M,8Y,28.34
2019-05-28,USD,Swaption,ICAP,1M,9Y,27.21
2019-05-28,USD,Swaption,ICAP,1M,10Y,26.1
2019-05-28,USD,Swaption,ICAP,1M,15Y,23.9
2019-05-28,USD,Swaption,ICAP,1M,20Y,22.07
2019-05-28,USD,Swaption,ICAP,1M,25Y,21.25
2019-05-28,USD,Swaption,ICAP,1M,30Y,20.5
2019-05-28,USD,Swaption,ICAP,3M,1Y,22.24
2019-05-28,USD,Swaption,ICAP,3M,2Y,30.37
2019-05-28,USD,Swaption,ICAP,3M,3Y,30.86
2019-05-28,USD,Swaption,ICAP,3M,4Y,31.08
2019-05-28,USD,Swaption,ICAP,3M,5Y,30.9
2019-05-28,USD,Swaption,ICAP,3M,6Y,29.91
2019-05-28,USD,Swaption,ICAP,3M,7Y,28.92
2019-05-28,USD,Swaption,ICAP,3M,8Y,27.95
2019-05-28,USD,Swaption,ICAP,3M,9Y,27.04
2019-05-28,USD,Swaption,ICAP,3M,10Y,26.15
2019-05-28,USD,Swaption,ICAP,3M,15Y,23.65
2019-05-28,USD,Swaption,ICAP,3M,20Y,22.23
2019-05-28,USD,Swaption,ICAP,3M,25Y,21.69
2019-05-28,USD,Swaption,ICAP,3M,30Y,20.97
2019-05-28,USD,Swaption,ICAP,6M,1Y,28.38
2019-05-28,USD,Swaption,ICAP,6M,2Y,33.34
2019-05-28,USD,Swaption,ICAP,6M,3Y,33.72
2019-05-28,USD,Swaption,ICAP,6M,4Y,32.71
2019-05-28,USD,Swaption,ICAP,6M,5Y,31.59
2019-05-28,USD,Swaption,ICAP,6M,6Y,30.61
2019-05-28,USD,Swaption,ICAP,6M,7Y,29.65
2019-05-28,USD,Swaption,ICAP,6M,8Y,28.74
2019-05-28,USD,Swaption,ICAP,6M,9Y,27.88
2019-05-28,USD,Swaption,ICAP,6M,10Y,27.05
2019-05-28,USD,Swaption,ICAP,6M,15Y,24.39
2019-05-28,USD,Swaption,ICAP,6M,20Y,22.87
2019-05-28,USD,Swaption,ICAP,6M,25Y,22.28
2019-05-28,USD,Swaption,ICAP,6M,30Y,21.67
2019-05-28,USD,Swaption,ICAP,1Y,1Y,35.19
2019-05-28,USD,Swaption,ICAP,1Y,2Y,36.27
2019-05-28,USD,Swaption,ICAP,1Y,3Y,35.01
2019-05-28,USD,Swaption,ICAP,1Y,4Y,33.37
2019-05-28,USD,Swaption,ICAP,1Y,5Y,31.95
2019-05-28,USD,Swaption,ICAP,1Y,6Y,30.83
2019-05-28,USD,Swaption,ICAP,1Y,7Y,29.78
2019-05-28,USD,Swaption,ICAP,1Y,8Y,28.8
2019-05-28,USD,Swaption,ICAP,1Y,9Y,27.89
2019-05-28,USD,Swaption,ICAP,1Y,10Y,27.04
2019-05-28,USD,Swaption,ICAP,1Y,15Y,24.41
2019-05-28,USD,Swaption,ICAP,1Y,20Y,22.95
2019-05-28,USD,Swaption,ICAP,1Y,25Y,22.33
2019-05-28,USD,Swaption,ICAP,1Y,30Y,21.9
2019-05-28,USD,Swaption,ICAP,2Y,1Y,37.23
2019-05-28,USD,Swaption,ICAP,2Y,2Y,35.75
2019-05-28,USD,Swaption,ICAP,2Y,3Y,34.14
2019-05-28,USD,Swaption,ICAP,2Y,4Y,32.77
2019-05-28,USD,Swaption,ICAP,2Y,5Y,31.1
2019-05-28,USD,Swaption,ICAP,2Y,6Y,30.07
