DATE,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,30Y
2014-08-01,0.324,0.69,1.143,1.53,1.824,2.059,2.25,2.407,2.539,2.651,3.014,3.177,3.284
2014-08-04,0.32,0.671,1.108,1.491,1.784,2.019,2.21,2.368,2.5,2.613,2.978,3.142,3.25
2014-08-05,0.326,0.694,1.143,1.534,1.832,2.067,2.257,2.413,2.544,2.657,3.025,3.19,3.301
2014-08-06,0.321,0.677,1.121,1.506,1.797,2.028,2.213,2.366,2.496,2.607,2.969,3.132,3.241
2014-08-07,0.322,0.679,1.119,1.501,1.789,2.018,2.203,2.357,2.487,2.599,2.96,3.121,3.228
2014-08-08,0.318,0.66,1.087,1.457,1.739,1.964,2.148,2.3,2.43,2.541,2.902,3.064,3.173
2014-08-11,0.318,0.677,1.115,1.496,1.786,2.014,2.199,2.354,2.483,2.593,2.949,3.11,3.216
2014-08-12,0.316,0.674,1.109,1.485,1.772,2.002,2.19,2.345,2.476,2.587,2.948,3.111,3.22
2014-08-13,0.306,0.643,1.070,1.445,1.735,1.969,2.16,2.319,2.454,2.569,2.936,3.101,3.216
2014-08-14,0.299,0.633,1.056,1.429,1.716,1.948,2.139,2.298,2.433,2.547,2.913,3.076,3.189
2014-08-15,0.301,0.628,1.041,1.404,1.686,1.909,2.09,2.241,2.37,2.479,2.83,2.988,3.095
2014-08-18,0.306,0.652,1.079,1.45,1.733,1.958,2.14,2.292,2.421,2.53,2.884,3.042,3.152
2014-08-19,0.308,0.653,1.078,1.447,1.734,1.962,2.149,2.304,2.435,2.548,2.91,3.074,3.187
2014-08-20,0.314,0.666,1.097,1.471,1.759,1.989,2.176,2.331,2.463,2.576,2.938,3.102,3.215
2014-08-21,0.324,0.689,1.128,1.503,1.786,2.008,2.188,2.336,2.464,2.571,2.922,3.082,3.19
2014-08-22,0.334,0.716,1.161,1.537,1.817,2.033,2.204,2.348,2.468,2.57,2.91,3.065,3.169
2014-08-25,0.337,0.724,1.167,1.542,1.819,2.028,2.193,2.331,2.447,2.547,2.879,3.032,3.135
2014-08-26,0.338,0.725,1.167,1.533,1.802,2.008,2.174,2.309,2.425,2.526,2.86,3.014,3.118
2014-08-27,0.33,0.712,1.146,1.51,1.779,1.988,2.158,2.297,2.416,2.519,2.856,3.011,3.116
2014-08-28,0.34,0.721,1.158,1.516,1.78,1.98,2.139,2.272,2.386,2.484,2.803,2.951,3.05
2014-08-29,0.337,0.715,1.154,1.512,1.776,1.979,2.142,2.277,2.392,2.491,2.812,2.959,3.057
2014-09-01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-09-02,0.344,0.742,1.187,1.551,1.817,2.026,2.194,2.332,2.449,2.55,2.881,3.034,3.137
2014-09-03,0.344,0.738,1.184,1.552,1.822,2.033,2.202,2.34,2.457,2.558,2.89,3.043,3.146
2014-09-04,0.345,0.746,1.196,1.567,1.838,2.049,2.218,2.356,2.472,2.573,2.909,3.065,3.172
2014-09-05,0.337,0.719,1.159,1.525,1.797,2.012,2.186,2.327,2.448,2.552,2.896,3.056,3.167
2014-09-08,0.339,0.722,1.159,1.526,1.801,2.016,2.189,2.33,2.448,2.55,2.891,3.049,3.159
2014-09-09,0.362,0.773,1.228,1.605,1.882,2.094,2.264,2.398,2.513,2.612,2.944,3.099,3.204
2014-09-10,0.367,0.784,1.248,1.634,1.916,2.134,2.305,2.444,2.561,2.662,2.995,3.148,3.253
2014-09-11,0.363,0.782,1.247,1.629,1.907,2.122,2.295,2.433,2.551,2.652,2.984,3.137,3.241
2014-09-12,0.372,0.805,1.283,1.675,1.965,2.19,2.37,2.516,2.638,2.741,3.073,3.226,3.329
2014-09-15,0.362,0.788,1.261,1.657,1.951,2.178,2.359,2.505,2.626,2.73,3.065,3.218,3.323
2014-09-16,0.364,0.785,1.254,1.652,1.947,2.173,2.355,2.5,2.621,2.725,3.066,3.223,3.334
2014-09-17,0.36,0.772,1.241,1.636,1.929,2.159,2.342,2.49,2.614,2.721,3.065,3.224,3.338
2014-09-18,0.367,0.815,1.312,1.723,2.018,2.242,2.418,2.558,2.675,2.775,3.104,3.255,3.362
2014-09-19,0.366,0.814,1.309,1.711,2.003,2.224,2.398,2.538,2.654,2.753,3.081,3.232,3.342
2014-09-22,0.361,0.798,1.277,1.671,1.959,2.175,2.344,2.481,2.595,2.692,3.014,3.163,3.271
2014-09-23,0.36,0.796,1.272,1.659,1.94,2.155,2.325,2.46,2.574,2.672,2.991,3.138,3.249
2014-09-24,0.365,0.795,1.271,1.659,1.941,2.156,2.323,2.457,2.569,2.666,2.982,3.128,3.238
2014-09-25,0.36,0.792,1.267,1.651,1.933,2.145,2.312,2.446,2.559,2.656,2.973,3.121,3.23
2014-09-26,0.359,0.806,1.286,1.671,1.95,2.158,2.32,2.451,2.56,2.654,2.96,3.103,3.205
2014-09-29,0.363,0.82,1.296,1.67,1.936,2.14,2.3,2.429,2.536,2.628,2.927,3.065,3.162
2014-09-30,0.365,0.829,1.307,1.676,1.939,2.142,2.304,2.435,2.543,2.635,2.937,3.078,3.178
2014-10-01,0.353,0.793,1.258,1.62,1.878,2.082,2.245,2.377,2.487,2.582,2.893,3.039,3.145
2014-10-02,0.348,0.783,1.240,1.599,1.855,2.057,2.221,2.354,2.465,2.561,2.872,3.018,3.125
2014-10-03,0.364,0.832,1.313,1.678,1.939,2.138,2.296,2.423,2.531,2.622,2.919,3.058,3.158
2014-10-06,0.352,0.81,1.273,1.631,1.89,2.092,2.253,2.385,2.494,2.588,2.892,3.035,3.138
2014-10-07,0.352,0.785,1.239,1.593,1.852,2.052,2.214,2.344,2.453,2.547,2.854,2.998,3.103
2014-10-08,0.348,0.761,1.202,1.552,1.809,2.007,2.163,2.291,2.4,2.493,2.799,2.946,3.053
2014-10-09,0.319,0.712,1.146,1.492,1.753,1.955,2.119,2.254,2.368,2.466,2.786,2.939,3.051
2014-10-10,0.319,0.712,1.144,1.487,1.742,1.942,2.103,2.235,2.348,2.445,2.761,2.914,3.026
2014-10-13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
